customer_id,avg_order_value,purchase_frequency,recency_days,category_affinity_score
CUST00140,36.0,4,97,0.05
CUST00141,34.0,4,130,0.011
CUST00142,227.0,56,13,0.208
CUST00143,134.0,22,46,0.292
CUST00144,131.0,15,51,0.27
CUST00145,192.0,69,11,0.376
CUST00146,391.0,89,2,0.717
CUST00147,76.0,12,45,0.062
CUST00148,130.0,11,59,0.107
CUST00149,328.0,95,14,0.634
CUST00150,165.0,60,27,0.588
CUST00151,39.0,2,86,0.043
CUST00152,228.0,56,28,0.398
CUST00153,187.0,44,12,0.428
CUST00154,125.0,19,29,0.231
CUST00155,26.0,1,103,0.021
CUST00156,244.0,48,11,0.409
CUST00157,89.0,17,49,0.146
CUST00158,56.0,9,87,0.086
CUST00159,248.0,38,16,0.472
CUST00160,89.0,6,35,0.086
CUST00161,164.0,26,37,0.181
CUST00162,111.0,11,63,0.08
CUST00163,88.0,14,58,0.156
CUST00164,138.0,10,32,0.131
CUST00165,333.0,59,7,0.655
CUST00166,62.0,11,46,0.084
CUST00167,190.0,11,54,0.259
CUST00168,179.0,39,25,0.256
CUST00169,246.0,64,12,0.718
CUST00170,128.0,11,21,0.157
CUST00171,99.0,19,74,0.125
CUST00172,207.0,59,12,0.948
CUST00173,125.0,33,43,0.137
CUST00174,155.0,34,25,0.407
CUST00175,70.0,9,44,0.092
CUST00176,207.0,50,24,0.208
CUST00177,63.0,6,58,0.11
CUST00178,190.0,38,33,0.173
CUST00179,27.0,3,123,0.046
CUST00180,222.0,65,22,0.457
CUST00181,131.0,39,56,0.164
CUST00182,174.0,62,17,0.516
CUST00183,25.0,1,95,0.035
CUST00184,41.0,0,117,0.048
CUST00185,263.0,65,19,0.247
CUST00186,59.0,6,82,0.087
CUST00187,75.0,17,75,0.142
CUST00188,158.0,25,36,0.22
CUST00189,192.0,29,49,0.105
CUST00190,225.0,45,14,0.397
CUST00191,284.0,76,11,0.737
CUST00192,32.0,3,72,0.055
CUST00193,11.0,0,136,0.049
CUST00194,67.0,14,49,0.092
CUST00195,176.0,28,40,0.29
CUST00196,151.0,15,20,0.219
CUST00197,81.0,16,33,0.131
CUST00198,13.0,1,65,0.057
CUST00199,25.0,0,77,0.019
CUST00200,72.0,9,77,0.095
CUST00201,113.0,8,62,0.111
CUST00202,201.0,81,12,0.675
CUST00203,240.0,58,15,0.274
CUST00204,22.0,6,67,0.045
CUST00205,62.0,11,77,0.131
CUST00206,273.0,91,14,0.504
CUST00207,294.0,37,17,0.422
CUST00208,94.0,19,60,0.042
CUST00209,200.0,74,14,0.637
CUST00210,239.0,50,11,0.314
CUST00211,180.0,24,52,0.134
CUST00212,82.0,13,88,0.135
CUST00213,62.0,9,46,0.135
CUST00214,188.0,42,14,0.466
CUST00215,97.0,16,40,0.077
CUST00216,174.0,52,15,0.388
CUST00217,188.0,27,43,0.204
CUST00218,80.0,14,55,0.097
CUST00219,89.0,11,49,0.134
CUST00220,117.0,9,64,0.11
CUST00221,117.0,11,56,0.11
CUST00222,110.0,34,21,0.294
CUST00223,219.0,57,13,0.924
CUST00224,104.0,37,26,0.205
CUST00225,267.0,59,16,0.546
CUST00226,218.0,63,24,0.486
CUST00227,11.0,8,60,0.013
CUST00228,165.0,23,22,0.241
CUST00229,47.0,4,103,0.023
CUST00230,52.0,15,68,0.107
CUST00231,111.0,6,69,0.129
CUST00232,172.0,11,54,0.142
CUST00233,150.0,28,41,0.123
CUST00234,106.0,31,59,0.207
CUST00235,155.0,38,19,0.575
CUST00236,70.0,8,46,0.067
CUST00237,150.0,50,10,0.208
CUST00238,341.0,57,8,0.913
CUST00239,102.0,8,64,0.044
CUST00240,214.0,57,15,0.375
CUST00241,34.0,2,124,0.042
CUST00242,17.0,5,162,0.05
CUST00243,23.0,6,92,0.012
CUST00244,155.0,27,57,0.2
CUST00245,314.0,70,4,0.618
CUST00246,16.0,6,100,0.025
CUST00247,196.0,20,45,0.274
CUST00248,16.0,2,122,0.024
CUST00249,24.0,8,153,0.047
CUST00250,38.0,8,148,0.028
CUST00251,223.0,46,15,0.472
CUST00252,138.0,10,25,0.139
CUST00253,31.0,0,155,0.044
CUST00254,192.0,32,54,0.283
CUST00255,256.0,50,18,0.214
CUST00256,135.0,24,21,0.138
CUST00257,41.0,0,158,0.053
CUST00258,97.0,12,41,0.125
CUST00259,107.0,30,24,0.263
CUST00260,204.0,72,3,0.555
CUST00261,102.0,7,59,0.075
CUST00262,48.0,0,151,0.034
CUST00263,250.0,61,10,0.219
CUST00264,109.0,28,21,0.223
CUST00265,42.0,1,74,0.054
CUST00266,84.0,13,78,0.139
CUST00267,105.0,6,35,0.148
CUST00268,90.0,5,72,0.088
CUST00269,164.0,12,36,0.251
CUST00270,185.0,41,29,0.35
CUST00271,73.0,17,58,0.042
CUST00272,70.0,12,53,0.088
CUST00273,25.0,0,82,0.032
CUST00274,41.0,5,138,0.038
CUST00275,170.0,31,50,0.244
CUST00276,128.0,36,49,0.149
CUST00277,99.0,19,37,0.066
CUST00278,118.0,14,64,0.078
CUST00279,74.0,13,79,0.125
CUST00280,104.0,10,31,0.127
CUST00281,30.0,6,70,0.032
CUST00282,193.0,21,37,0.172
CUST00283,199.0,39,35,0.237
CUST00284,225.0,81,5,0.712
CUST00285,160.0,30,28,0.236
CUST00286,237.0,68,14,0.477
CUST00287,137.0,26,24,0.251
CUST00288,144.0,18,48,0.233
CUST00289,245.0,32,29,0.282
CUST00290,125.0,38,50,0.204
CUST00291,327.0,82,12,0.818
CUST00292,330.0,71,14,0.735
CUST00293,69.0,11,50,0.149
CUST00294,182.0,14,28,0.117
CUST00295,222.0,50,16,0.586
CUST00296,144.0,27,43,0.162
CUST00297,100.0,7,47,0.101
CUST00298,192.0,58,20,0.411
CUST00299,119.0,16,31,0.072
CUST00300,231.0,53,1,0.46
CUST00301,272.0,58,9,0.927
CUST00302,117.0,10,27,0.203
CUST00303,178.0,16,33,0.116
CUST00304,110.0,16,55,0.088
CUST00305,109.0,6,55,0.147
CUST00306,24.0,2,125,0.027
CUST00307,171.0,23,36,0.293
CUST00308,104.0,32,54,0.231
CUST00309,118.0,8,58,0.109
CUST00310,152.0,36,11,0.3
CUST00311,146.0,33,40,0.283
CUST00312,323.0,68,14,0.731
CUST00313,370.0,50,6,0.624
CUST00314,33.0,5,115,0.03
CUST00315,116.0,17,46,0.081
CUST00316,93.0,18,46,0.101
CUST00317,194.0,31,38,0.257
CUST00318,222.0,44,26,0.222
CUST00319,156.0,59,21,0.398
CUST00320,202.0,51,27,0.269
CUST00321,126.0,32,22,0.169
CUST00322,83.0,16,49,0.059
CUST00323,58.0,14,46,0.158
CUST00324,214.0,57,25,0.409
CUST00325,48.0,8,179,0.034
CUST00326,111.0,14,38,0.15
CUST00327,161.0,30,33,0.232
CUST00328,113.0,13,46,0.108
CUST00329,191.0,38,27,0.211
CUST00330,272.0,42,22,0.501
CUST00331,178.0,29,42,0.129
CUST00332,98.0,18,32,0.139
CUST00333,312.0,53,5,0.853
CUST00334,163.0,44,11,0.22
CUST00335,336.0,53,10,0.645
CUST00336,342.0,91,9,0.969
CUST00337,29.0,5,162,0.039
CUST00338,113.0,16,88,0.153
CUST00339,151.0,16,28,0.152
CUST00340,275.0,89,8,0.493
CUST00341,153.0,36,59,0.173
CUST00342,189.0,22,45,0.127
CUST00343,180.0,53,26,0.321
CUST00344,114.0,37,45,0.179
CUST00345,119.0,37,42,0.134
CUST00346,117.0,12,77,0.05
CUST00347,94.0,7,64,0.11
CUST00348,341.0,62,10,0.77
CUST00349,151.0,39,36,0.258
CUST00350,51.0,18,37,0.131
CUST00351,164.0,16,27,0.233
CUST00352,24.0,0,146,0.013
CUST00353,101.0,12,35,0.041
CUST00354,241.0,55,24,0.326
CUST00355,382.0,54,6,0.464
CUST00356,98.0,17,34,0.126
CUST00357,224.0,55,12,0.903
CUST00358,118.0,10,57,0.256
CUST00359,43.0,9,107,0.036
CUST00360,172.0,27,29,0.216
CUST00361,197.0,15,39,0.134
CUST00362,98.0,6,65,0.049
CUST00363,190.0,26,35,0.143
CUST00364,194.0,24,31,0.161
CUST00365,38.0,2,62,0.029
CUST00366,149.0,20,42,0.259
CUST00367,23.0,4,143,0.015
CUST00368,35.0,7,110,0.05
CUST00369,261.0,51,15,0.508
CUST00370,284.0,70,5,0.731
CUST00371,191.0,40,27,0.466
CUST00372,321.0,89,3,0.972
CUST00373,208.0,89,6,0.849
CUST00374,115.0,18,47,0.107
CUST00375,300.0,67,7,0.516
CUST00376,192.0,25,59,0.155
CUST00377,76.0,6,52,0.043
CUST00378,369.0,62,1,0.765
CUST00379,68.0,17,41,0.099
CUST00380,247.0,65,13,0.465
CUST00381,155.0,62,14,0.397
CUST00382,59.0,8,88,0.128
CUST00383,94.0,9,37,0.149
CUST00384,27.0,7,121,0.046
CUST00385,67.0,17,61,0.086
CUST00386,70.0,18,34,0.085
CUST00387,252.0,42,20,0.436
CUST00388,216.0,48,25,0.456
CUST00389,99.0,11,38,0.075
CUST00390,117.0,6,32,0.091
CUST00391,36.0,3,141,0.054
CUST00392,194.0,37,45,0.135
CUST00393,118.0,28,55,0.248
CUST00394,70.0,5,34,0.114
CUST00395,118.0,25,56,0.231
CUST00396,28.0,6,86,0.051
CUST00397,16.0,0,130,0.021
CUST00398,175.0,37,42,0.171
CUST00399,51.0,8,63,0.135
CUST00400,114.0,19,59,0.136
CUST00401,251.0,69,10,0.433
CUST00402,25.0,8,94,0.052
CUST00403,159.0,26,59,0.275
CUST00404,73.0,18,37,0.076
CUST00405,162.0,13,43,0.221
CUST00406,11.0,3,107,0.02
CUST00407,172.0,26,29,0.291
CUST00408,267.0,56,11,0.793
CUST00409,16.0,4,67,0.039
CUST00410,274.0,58,14,0.459
CUST00411,171.0,38,43,0.131
CUST00412,14.0,5,157,0.057
CUST00413,11.0,7,82,0.045
CUST00414,164.0,22,49,0.278
CUST00415,94.0,9,78,0.136
CUST00416,145.0,34,43,0.16
CUST00417,162.0,63,11,0.49
CUST00418,100.0,25,53,0.177
CUST00419,66.0,11,62,0.046
CUST00420,53.0,17,36,0.053
CUST00421,83.0,8,61,0.121
CUST00422,76.0,5,62,0.084
CUST00423,317.0,62,12,0.779
CUST00424,142.0,23,50,0.237
CUST00425,337.0,77,6,0.586
CUST00426,158.0,24,40,0.171
CUST00427,164.0,23,36,0.183
CUST00428,16.0,0,158,0.021
CUST00429,173.0,32,56,0.273
CUST00430,159.0,56,13,0.587
CUST00431,278.0,44,17,0.202
CUST00432,80.0,10,73,0.062
CUST00433,111.0,18,43,0.111
CUST00434,199.0,58,27,0.276
CUST00435,389.0,51,8,0.65
CUST00436,80.0,9,50,0.068
CUST00437,269.0,93,5,0.61
CUST00438,113.0,12,80,0.158
CUST00439,67.0,18,42,0.152
CUST00440,399.0,82,11,0.459
CUST00441,379.0,69,1,0.746
CUST00442,43.0,2,141,0.041
CUST00443,184.0,19,50,0.271
CUST00444,176.0,10,33,0.289
CUST00445,59.0,6,34,0.152
CUST00446,30.0,2,135,0.043
CUST00447,39.0,7,130,0.036
CUST00448,79.0,18,52,0.13
CUST00449,159.0,15,20,0.26
CUST00450,394.0,58,9,0.609
CUST00451,82.0,12,66,0.145
CUST00452,149.0,31,26,0.237
CUST00453,152.0,31,20,0.264
CUST00454,29.0,2,79,0.045
CUST00455,246.0,33,22,0.498
CUST00456,163.0,21,30,0.28
CUST00457,333.0,52,10,0.479
CUST00458,123.0,30,47,0.109
CUST00459,358.0,82,2,0.497
CUST00460,171.0,51,13,0.266
CUST00461,283.0,64,13,0.361
CUST00462,106.0,13,85,0.083
CUST00463,112.0,6,80,0.077
CUST00464,156.0,28,21,0.114
CUST00465,35.0,2,97,0.054
CUST00466,129.0,15,59,0.235
CUST00467,239.0,61,26,0.362
CUST00468,40.0,7,169,0.04
CUST00469,204.0,42,28,0.554
CUST00470,26.0,8,79,0.047
CUST00471,226.0,71,9,0.843
CUST00472,49.0,9,95,0.038
CUST00473,270.0,53,7,0.938
CUST00474,15.0,7,170,0.04
CUST00475,190.0,36,42,0.124
CUST00476,26.0,0,60,0.01
CUST00477,336.0,62,1,0.843
CUST00478,148.0,10,29,0.168
CUST00479,17.0,7,139,0.037
CUST00480,183.0,20,42,0.115
CUST00481,66.0,17,63,0.057
CUST00482,104.0,10,32,0.041
CUST00483,187.0,33,38,0.133
CUST00484,81.0,19,36,0.124
CUST00485,135.0,20,28,0.29
CUST00486,39.0,4,179,0.047
CUST00487,241.0,89,7,0.812
CUST00488,220.0,61,29,0.222
CUST00489,21.0,6,171,0.01
CUST00490,48.0,7,141,0.018
CUST00491,109.0,14,45,0.205
CUST00492,100.0,16,73,0.155
CUST00493,162.0,48,18,0.265
CUST00494,298.0,44,23,0.568
CUST00495,181.0,29,28,0.165
CUST00496,146.0,32,24,0.295
CUST00497,133.0,37,25,0.24
CUST00498,236.0,72,4,0.866
CUST00499,28.0,5,171,0.041
CUST00500,30.0,1,130,0.059
CUST00501,90.0,5,70,0.079
CUST00502,121.0,29,24,0.194
CUST00503,110.0,22,22,0.281
CUST00504,86.0,17,40,0.067
CUST00505,108.0,9,80,0.041
CUST00506,267.0,39,19,0.327
CUST00507,27.0,7,123,0.031
CUST00508,71.0,17,33,0.119
CUST00509,45.0,6,70,0.057
CUST00510,60.0,12,74,0.128
CUST00511,106.0,5,64,0.154
CUST00512,174.0,19,59,0.2
CUST00513,38.0,7,72,0.025
CUST00514,41.0,7,118,0.027
CUST00515,306.0,99,7,0.449
CUST00516,206.0,57,6,0.534
CUST00517,177.0,22,59,0.205
CUST00518,119.0,8,73,0.056
CUST00519,11.0,9,124,0.053
CUST00520,299.0,43,19,0.592
CUST00521,199.0,17,24,0.145
CUST00522,164.0,15,28,0.16
CUST00523,19.0,7,70,0.032
CUST00524,97.0,19,34,0.137
CUST00525,83.0,6,52,0.156
CUST00526,120.0,26,37,0.124
CUST00527,108.0,17,59,0.185
CUST00528,250.0,55,25,0.288
CUST00529,277.0,88,3,0.615
CUST00530,37.0,8,169,0.046
CUST00531,84.0,13,62,0.067
CUST00532,39.0,3,136,0.018
CUST00533,37.0,5,128,0.037
CUST00534,186.0,20,33,0.133
CUST00535,109.0,8,57,0.073
CUST00536,43.0,0,128,0.055
CUST00537,105.0,6,88,0.092
CUST00538,196.0,66,25,0.208
CUST00539,139.0,26,47,0.272
CUST00540,168.0,36,26,0.344
CUST00541,29.0,2,99,0.038
CUST00542,75.0,13,33,0.072
CUST00543,245.0,42,23,0.445
CUST00544,50.0,16,41,0.047
CUST00545,78.0,8,75,0.102
CUST00546,136.0,31,43,0.267
CUST00547,291.0,40,25,0.341
CUST00548,104.0,16,45,0.088
CUST00549,193.0,39,24,0.178
CUST00550,61.0,18,41,0.125
CUST00551,120.0,10,56,0.231
CUST00552,47.0,4,149,0.014
CUST00553,174.0,18,31,0.145
CUST00554,137.0,23,52,0.141
CUST00555,32.0,3,81,0.052
CUST00556,169.0,13,38,0.105
CUST00557,247.0,58,18,0.341
CUST00558,268.0,54,11,0.439
CUST00559,68.0,11,53,0.094
CUST00560,69.0,5,31,0.09
CUST00561,65.0,8,79,0.128
CUST00562,182.0,53,27,0.296
CUST00563,185.0,43,19,0.349
CUST00564,283.0,97,4,0.593
CUST00565,184.0,31,25,0.126
CUST00566,102.0,35,54,0.194
CUST00567,145.0,26,53,0.111
CUST00568,174.0,22,40,0.254
CUST00569,17.0,6,162,0.055
CUST00570,174.0,24,40,0.138
CUST00571,168.0,33,27,0.156
CUST00572,90.0,17,78,0.05
CUST00573,117.0,11,35,0.2
CUST00574,117.0,19,86,0.081
CUST00575,37.0,7,155,0.056
CUST00576,39.0,2,122,0.021
CUST00577,178.0,33,17,0.429
CUST00578,23.0,0,70,0.012
CUST00579,189.0,18,34,0.278
CUST00580,157.0,61,12,0.451
CUST00581,132.0,15,53,0.112
CUST00582,44.0,3,166,0.055
CUST00583,199.0,35,28,0.229
CUST00584,193.0,31,33,0.196
CUST00585,77.0,10,53,0.144
CUST00586,195.0,40,20,0.455
CUST00587,262.0,50,4,0.947
CUST00588,190.0,45,25,0.598
CUST00589,293.0,45,11,0.226
CUST00590,159.0,54,20,0.306
CUST00591,182.0,63,21,0.348
CUST00592,84.0,14,69,0.068
CUST00593,191.0,48,19,0.27
CUST00594,178.0,19,42,0.253
CUST00595,49.0,5,93,0.026
CUST00596,132.0,27,56,0.102
CUST00597,97.0,10,41,0.071
CUST00598,223.0,56,22,0.486
CUST00599,284.0,62,16,0.205
CUST00600,282.0,79,14,0.606
CUST00601,188.0,59,26,0.286
CUST00602,226.0,32,26,0.344
CUST00603,233.0,43,23,0.48
CUST00604,344.0,81,11,0.557
CUST00605,253.0,49,13,0.229
CUST00606,151.0,32,35,0.273
CUST00607,208.0,57,15,0.57
CUST00608,172.0,28,27,0.11
CUST00609,144.0,38,50,0.29
CUST00610,98.0,12,58,0.063
CUST00611,365.0,61,9,0.486
CUST00612,102.0,12,89,0.122
CUST00613,97.0,11,76,0.066
CUST00614,367.0,71,6,0.508
CUST00615,49.0,1,81,0.039
CUST00616,38.0,0,102,0.047
CUST00617,337.0,77,6,0.674
CUST00618,225.0,64,12,0.267
CUST00619,103.0,9,62,0.06
CUST00620,90.0,18,64,0.142
CUST00621,290.0,48,19,0.595
CUST00622,219.0,67,27,0.474
CUST00623,198.0,13,47,0.256
CUST00624,136.0,34,23,0.273
CUST00625,113.0,5,71,0.043
CUST00626,152.0,27,44,0.126
CUST00627,103.0,14,28,0.134
CUST00628,80.0,8,54,0.144
CUST00629,208.0,66,6,0.422
CUST00630,188.0,35,20,0.39
CUST00631,119.0,6,32,0.147
CUST00632,42.0,2,80,0.04
CUST00633,172.0,14,27,0.124
CUST00634,109.0,25,39,0.176
CUST00635,195.0,46,29,0.284
CUST00636,144.0,14,34,0.128
CUST00637,184.0,38,33,0.218
CUST00638,160.0,32,17,0.289
CUST00639,160.0,36,15,0.328
CUST00640,172.0,33,49,0.268
CUST00641,295.0,56,10,0.533
CUST00642,107.0,38,51,0.161
CUST00643,268.0,63,15,0.512
CUST00644,148.0,13,35,0.111
CUST00645,154.0,53,11,0.489
CUST00646,30.0,3,133,0.032
CUST00647,112.0,28,46,0.253
CUST00648,51.0,14,89,0.136
CUST00649,90.0,18,73,0.048
CUST00650,105.0,14,58,0.128
CUST00651,225.0,65,10,0.57
CUST00652,112.0,23,48,0.209
CUST00653,104.0,24,33,0.137
CUST00654,57.0,6,55,0.075
CUST00655,135.0,32,23,0.152
CUST00656,186.0,35,10,0.374
CUST00657,245.0,64,19,0.521
CUST00658,197.0,34,39,0.155
CUST00659,87.0,10,67,0.089
CUST00660,181.0,34,47,0.113
CUST00661,193.0,19,21,0.143
CUST00662,29.0,1,145,0.014
CUST00663,66.0,5,83,0.052
CUST00664,152.0,43,15,0.5
CUST00665,280.0,66,12,0.309
CUST00666,171.0,60,11,0.524
CUST00667,226.0,43,26,0.526
CUST00668,280.0,67,27,0.248
CUST00669,284.0,45,11,0.451
CUST00670,232.0,37,16,0.575
CUST00671,150.0,69,10,0.372
CUST00672,11.0,9,131,0.051
CUST00673,386.0,97,2,0.575
CUST00674,179.0,10,24,0.246
CUST00675,110.0,39,50,0.291
CUST00676,38.0,6,75,0.058
CUST00677,200.0,61,23,0.463
CUST00678,163.0,32,36,0.137
CUST00679,19.0,9,60,0.041
CUST00680,33.0,6,90,0.042
CUST00681,113.0,10,61,0.072
CUST00682,192.0,41,27,0.599
CUST00683,288.0,44,21,0.454
CUST00684,107.0,12,50,0.085
CUST00685,15.0,9,111,0.033
CUST00686,195.0,23,28,0.296
CUST00687,106.0,38,30,0.225
CUST00688,190.0,64,28,0.496
CUST00689,54.0,8,33,0.082
CUST00690,175.0,63,23,0.405
CUST00691,151.0,15,39,0.131
CUST00692,185.0,14,52,0.154
CUST00693,180.0,30,41,0.149
CUST00694,172.0,48,18,0.203
CUST00695,271.0,69,28,0.205
CUST00696,60.0,9,85,0.062
CUST00697,267.0,69,11,0.591
CUST00698,131.0,37,56,0.211
CUST00699,190.0,49,27,0.505
CUST00700,161.0,16,42,0.119
CUST00701,199.0,35,55,0.144
CUST00702,361.0,70,14,0.422
CUST00703,178.0,25,35,0.142
CUST00704,171.0,30,19,0.471
CUST00705,301.0,99,10,0.915
CUST00706,43.0,0,176,0.042
CUST00707,140.0,10,49,0.195
CUST00708,117.0,8,71,0.106
CUST00709,243.0,58,10,0.44
CUST00710,71.0,17,69,0.145
CUST00711,50.0,9,79,0.12
CUST00712,199.0,31,37,0.246
CUST00713,108.0,24,24,0.294
CUST00714,183.0,29,56,0.187
CUST00715,118.0,29,25,0.126
CUST00716,33.0,0,133,0.02
CUST00717,64.0,11,43,0.045
CUST00718,12.0,2,117,0.058
CUST00719,159.0,58,20,0.527
CUST00720,74.0,13,87,0.102
CUST00721,13.0,5,154,0.033
CUST00722,277.0,47,13,0.491
CUST00723,308.0,73,13,0.488
CUST00724,90.0,19,87,0.088
CUST00725,185.0,24,38,0.29
CUST00726,54.0,13,71,0.102
CUST00727,160.0,37,24,0.395
CUST00728,92.0,18,30,0.052
CUST00729,288.0,68,15,0.416
CUST00730,176.0,50,19,0.37
CUST00731,248.0,64,25,0.224
CUST00732,74.0,14,64,0.08
CUST00733,119.0,16,86,0.086
CUST00734,139.0,21,22,0.274
CUST00735,198.0,24,49,0.296
CUST00736,31.0,6,123,0.047
CUST00737,160.0,26,35,0.144
CUST00738,112.0,8,86,0.101
CUST00739,122.0,11,21,0.103
CUST00740,133.0,32,35,0.176
CUST00741,160.0,27,26,0.192
CUST00742,107.0,25,47,0.13
CUST00743,52.0,13,43,0.085
CUST00744,128.0,17,35,0.209
CUST00745,264.0,33,16,0.537
CUST00746,34.0,5,113,0.027
CUST00747,112.0,14,36,0.254
CUST00748,111.0,20,44,0.237
CUST00749,32.0,6,133,0.046
CUST00750,99.0,6,70,0.044
CUST00751,188.0,57,19,0.324
CUST00752,35.0,0,82,0.019
CUST00753,112.0,16,46,0.148
CUST00754,199.0,20,36,0.288
CUST00755,265.0,35,17,0.382
CUST00756,61.0,5,43,0.121
CUST00757,111.0,8,44,0.15
CUST00758,147.0,11,28,0.205
CUST00759,26.0,0,131,0.053
CUST00760,66.0,13,68,0.111
CUST00761,252.0,50,16,0.58
CUST00762,146.0,25,34,0.168
CUST00763,175.0,52,11,0.209
CUST00764,98.0,15,49,0.142
CUST00765,244.0,98,9,0.814
CUST00766,195.0,36,51,0.228
CUST00767,59.0,15,77,0.154
CUST00768,31.0,8,76,0.032
CUST00769,113.0,31,26,0.297
CUST00770,104.0,17,70,0.159
CUST00771,282.0,64,11,0.323
CUST00772,100.0,10,57,0.057
CUST00773,229.0,40,23,0.429
CUST00774,144.0,22,26,0.123
